0   -90 -65
1   -90 -65
2   -85 -55
3   -85 -55
4   -90 -65
5   -90 -65
6   -90 -65
7   -90 -65
8   -85 -55
9   -85 -55
10  -80 -60
11  -85 -60
12  -90 -65
13  -90 -65
14  -90 -65
15  -85 -60
16  -90 -65
17  -85 -60
18  -85 -60
19  -80 -60
20  -90 -65
21  -90 -65
22  -90 -65
23  -90 -65
24  -90 -65
25  -85 -60
26  -85 -60
27  -85 -60
28  -90 -65
29  -90 -65
30  -90 -65
31  -90 -65
32  -90 -65
33  -85 -60
34  -85 -60
35  -85 -60
36  -90 -65
37  -85 -60
38  -90 -65
39  -90 -65
40  -90 -65  
41  -80 -60
42  -85 -60
43  -85 -60
44  -90 -65
45  -90 -65
46  -90 -65
47  -90 -65
48  -90 -65
49  -90 -65
50  -90 -65
51  -90 -65
52  -90 -65
53  -90 -65
54  -90 -65
55  -90 -65
56  -90 -65
57  -90 -65
58  -90 -65
59  -90 -65
60  -90 -65
61  -90 -65
62  -85 -60
63  -90 -65
64  -90 -65
65  -90 -65
66  -90 -65
67  -90 -65
68  -90 -65
69  -90 -65
70  -90 -65
71  -85 -60
72  -90 -65
73  -90 -65
74  -90 -65
75  -90 -65
76  -90 -65
77  -90 -65
78  -90 -65
79  -90 -65  
80  -90 -65
81  -90 -65
82  -90 -65
83  -90 -65
84  -90 -65
85  -90 -65
86  -90 -65
87  -90 -65
88  -90 -65
89  -90 -65
90  -90 -65
91  -90 -65
92  -90 -65
93  -90 -65
94  -90 -65
95  -90 -65
96  -90 -65
97  -90 -65
98  -90 -65
99  -90 -65
