6.7 5.2
0.4   0.4
4.2   4.2
2 2.5
1.5 3
6.6 5.6
3.4 6.6
4.2 5.9
4.9 5
6.3   7.5
3.4 3.4
5   5
5   4
6   5
3.2 4.5
5   5
2 3
6   6
7.5   8
5   5
0.05 3.0
4.0 4.0
6   6.6
5   5
2 1.5
2.7 5.5
5.7 8.3
6.8   5.4
7.5   7.5
5   7.5
5.5 6.5
0.05   5.0
