0   5
1   10
2   5
3   5
4   5
5   10
6   5
7   10
8   10
9   5
10  10
11  5
12  5
13  15
14  5
15  5
16  5
17  10
18  5
19  5
20  15
21  5
22  5
23  5
24  5
25  15
26  127
27  127
28  5
29  5
30  5
31  10
32  5
33  5
34  5
35  5
36  5
37  5
38  5
39  10
40  15
41  5
42  5
43  5
44  5
45  10
46  15
47  10
48  10
49  10
50  127
51  10
52  5
53  5
54  5
55  5
56  5
57  5
58  10
59  10
60  10
61  5
62  18
63  5
64  10
65  10
66  10
67  127
68  5
69  5
70  5
71  5
72  10
73  10
74  10
75  10
76  5
77  5
78  5
79  5
80  5
81  20
82  5
83  5
84  3
85  5
86  5
87  5
88  10
89  20
90  10
91  15
92  5
93  5
94  10
95  5
96  10
97  15
98  10
99  7
